"Use Config","Use Config"
Custom,Custom
"Single Row","Single Row"
"Multiple Rows","Multiple Rows"
"Optimized image","Optimized image"
Success,Success
Error,Error
"Instagram Feed","Instagram Feed"
General,General
Enable,Enable
"Select Yes to enable this module. </br>
                    Access <a href=""https://developers.facebook.com/"" target=""_blank"">developers.facebook.com</a> to create applications. Please refer this <a href=""https://developers.facebook.com/docs/instagram-basic-display-api/getting-started"" target=""_blank"">link</a>","Select Yes to enable this module. </br>
                    Access <a href=""https://developers.facebook.com/"" target=""_blank"">developers.facebook.com</a> to create applications. Please refer this <a href=""https://developers.facebook.com/docs/instagram-basic-display-api/getting-started"" target=""_blank"">link</a>"
"User Token","User Token"
"Refer to this <a href=""https://developers.facebook.com/docs/instagram-basic-display-api/overview#instagram-user-access-tokens"" target=""_blank"">link</a> to get the user token","Refer to this <a href=""https://developers.facebook.com/docs/instagram-basic-display-api/overview#instagram-user-access-tokens"" target=""_blank"">link</a> to get the user token"
Display,Display
"Total number of photos","Total number of photos"
"The maximum number is 25.","The maximum number is 25."
Layout,Layout
"Select to arrange instagram images in one single row, two rows or in an organized layout","Select to arrange instagram images in one single row, two rows or in an organized layout"
"Number of row","Number of row"
"This value only applies to desktop and images will be automatically responsive depending on the device","This value only applies to desktop and images will be automatically responsive depending on the device"
"Show Caption","Show Caption"
"Select Yes to show caption when hover image.","Select Yes to show caption when hover image."
"Show pop-up","Show pop-up"
"Select Yes to show pop-up when click on image.","Select Yes to show pop-up when click on image."
